gene	cluster	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logFC
NEUROD2	pfc	ipc	gw18	0.63869	0	0.151	1.26868	0.713	0.562	0.50342
MDK	pfc	ipc	gw18	0.61546	0	0.152	1.40106	0.531	0.379	0.43928
C9orf16	pfc	ipc	gw18	0.60159	0	0.149	1.4027	0.519	0.37	0.42888
ZNF428	pfc	ipc	gw18	0.58198	0	0.233	1.38833	0.833	0.6	0.4192
RANBP1	pfc	ipc	gw18	0.57245	0	0.145	1.40503	0.503	0.358	0.40743
RPL41	pfc	ipc	gw18	0.55461	0	0.004	1.00403	0.997	0.993	0.55238
RPS15	pfc	ipc	gw18	0.53425	0	0.017	1.01729	1	0.983	0.52517
GPX4	pfc	ipc	gw18	0.52878	0	0.144	1.30769	0.612	0.468	0.40436
SLA	pfc	ipc	gw18	0.52121	0	0.125	1.22523	0.68	0.555	0.4254
COX5B	pfc	ipc	gw18	0.51118	0	0.103	1.19074	0.643	0.54	0.42929
PTPRZ1	pfc	ipc	gw18	0.49948	0	0.091	1.14725	0.709	0.618	0.43538
RTN4	pfc	ipc	gw18	0.49857	0	0.093	1.12318	0.848	0.755	0.44389
COX5A	pfc	ipc	gw18	0.49226	0	0.125	1.33069	0.503	0.378	0.36993
HNRNPA0	pfc	ipc	gw18	0.46586	0	0.141	1.20494	0.829	0.688	0.38663
CLTA	pfc	ipc	gw18	0.44846	0	0.122	1.30198	0.526	0.404	0.34445
RPL13	pfc	ipc	gw18	0.4383	0	0.213	1.27065	1	0.787	0.34494
CBX3	pfc	ipc	gw18	0.42453	0	0.096	1.20382	0.567	0.471	0.35265
RPS10	pfc	ipc	gw18	0.41331	0	0.027	1.0314	0.887	0.86	0.40073
NDUFB11	pfc	ipc	gw18	0.38341	0	0.065	1.09461	0.752	0.687	0.35027
RPS21	pfc	ipc	gw18	0.38327	0	0.022	1.02394	0.941	0.919	0.37431
TBCB	pfc	ipc	gw18	0.37713	0	0.135	1.32067	0.556	0.421	0.28556
CALM1	pfc	ipc	gw18	0.37373	0	0.155	1.21831	0.865	0.71	0.30676
GPM6A	pfc	ipc	gw18	0.36767	0	0.019	1.02043	0.949	0.93	0.36031
RPS2	pfc	ipc	gw18	0.35382	0	0.232	1.30248	0.999	0.767	0.27165
CKB	pfc	ipc	gw18	0.34896	0	0.145	1.23425	0.764	0.619	0.28273
SRGAP1	pfc	ipc	gw18	0.33517	0	0.086	1.17917	0.566	0.48	0.28424
ARPC2	pfc	ipc	gw18	0.33041	0	0.097	1.21041	0.558	0.461	0.27297
PPDPF	pfc	ipc	gw18	0.31956	0	0.113	1.23108	0.602	0.489	0.25957
TCEB2	pfc	ipc	gw18	0.31214	0	0.041	1.06065	0.717	0.676	0.29429
SMDT1	pfc	ipc	gw18	0.31136	0	0.094	1.19873	0.567	0.473	0.25974
VAMP2	pfc	ipc	gw18	0.30755	0	0.092	1.17132	0.629	0.537	0.26257
HMGN1	pfc	ipc	gw18	0.30373	0	0.109	1.16269	0.779	0.67	0.26123
COX8A	pfc	ipc	gw18	0.30196	0	0.026	1.04693	0.58	0.554	0.28842
NDUFA11	pfc	ipc	gw18	0.30036	0	0.015	1.02941	0.525	0.51	0.29178
UQCR11	pfc	ipc	gw18	0.30024	0	0.063	1.11887	0.593	0.53	0.26834
HNRNPM	pfc	ipc	gw18	0.29948	0	0.066	1.1328	0.563	0.497	0.26437
YWHAQ	pfc	ipc	gw18	0.29784	0	0.102	1.15549	0.758	0.656	0.25776
TOMM7	pfc	ipc	gw18	0.28528	0	0.032	1.04819	0.696	0.664	0.27216
COX7A2	pfc	ipc	gw18	0.28374	0	0.017	1.0193	0.898	0.881	0.27837
ATP5J2	pfc	ipc	gw18	0.27369	0	0.038	1.06714	0.604	0.566	0.25647
PTMA	pfc	ipc	gw18	0.27238	0	0.001	1.001	1	0.999	0.27211
TMSB10	pfc	ipc	gw18	0.25923	0	0	1	1	1	0.25923
MARCKSL1	pfc	ipc	gw19	1.90088	0	0.442	1.79354	0.999	0.557	1.05985
TERF2IP	pfc	ipc	gw19	1.39495	0	0.368	2.03081	0.725	0.357	0.68689
POU3F3	pfc	ipc	gw19	1.0129	0	0.257	1.94485	0.529	0.272	0.52081
WHSC1L1	pfc	ipc	gw19	1.00742	0	0.305	1.7606	0.706	0.401	0.5722
SYT1	pfc	ipc	gw19	0.8746	0	0.129	1.18943	0.81	0.681	0.73531
SRRM2	pfc	ipc	gw19	0.84774	0	0.262	1.8265	0.579	0.317	0.46413
RPS2	pfc	ipc	gw19	0.79313	0	0.304	1.45509	0.972	0.668	0.54508
RANBP1	pfc	ipc	gw19	0.76972	0	0.243	1.93822	0.502	0.259	0.39713
JUN	pfc	ipc	gw19	0.70337	0	0.206	1.46188	0.652	0.446	0.48114
FTH1	pfc	ipc	gw19	0.67318	0	0.257	1.34777	0.996	0.739	0.49948
RTN4	pfc	ipc	gw19	0.66353	0	0.235	1.35606	0.895	0.66	0.48931
RPL27	pfc	ipc	gw19	0.63308	0	0.232	1.44444	0.754	0.522	0.43829
SF1	pfc	ipc	gw19	0.55694	0	0.199	1.56695	0.55	0.351	0.35543
NCOR1	pfc	ipc	gw19	0.54182	0	0.205	1.57423	0.562	0.357	0.34418
C19orf43	pfc	ipc	gw19	0.53992	0	0.234	1.55981	0.652	0.418	0.34615
UNC5D	pfc	ipc	gw19	0.52292	0	0.167	1.45628	0.533	0.366	0.35908
RPL41	pfc	ipc	gw19	0.52031	0	0.203	1.29209	0.898	0.695	0.40269
TCEB2	pfc	ipc	gw19	0.49908	0	0.191	1.39545	0.674	0.483	0.35765
SRGAP1	pfc	ipc	gw19	0.46823	0	0.187	1.37325	0.688	0.501	0.34096
NTM	pfc	ipc	gw19	0.46173	0	0.17	1.40189	0.593	0.423	0.32936
FAU	pfc	ipc	gw19	0.44654	0	0.205	1.34687	0.796	0.591	0.33154
SOX4	pfc	ipc	gw19	0.43269	0	0.007	1.00705	1	0.993	0.42966
HIST1H4C	pfc	ipc	gw19	0.42443	0	0.153	1.40052	0.535	0.382	0.30305
PCBP2	pfc	ipc	gw19	0.42318	0	0.178	1.45524	0.569	0.391	0.2908
RPL23A	pfc	ipc	gw19	0.41831	0	0.076	1.08398	0.981	0.905	0.3859
COX5B	pfc	ipc	gw19	0.41828	0	0.167	1.42386	0.561	0.394	0.29376
BICD1	pfc	ipc	gw19	0.41795	0	0.142	1.33729	0.563	0.421	0.31253
ZFAS1	pfc	ipc	gw19	0.41532	0	0.156	1.26712	0.74	0.584	0.32776
RPL36	pfc	ipc	gw19	0.40922	0	0.135	1.16854	0.936	0.801	0.3502
COX7A2	pfc	ipc	gw19	0.40451	0	0.156	1.23708	0.814	0.658	0.32699
ATP5J2	pfc	ipc	gw19	0.39462	0	0.163	1.46571	0.513	0.35	0.26924
NDUFB11	pfc	ipc	gw19	0.38701	0	0.176	1.31373	0.737	0.561	0.29459
KDM5B	pfc	ipc	gw19	0.38283	0	0.165	1.37162	0.609	0.444	0.27911
RPL17	pfc	ipc	gw19	0.3686	0	0.173	1.32216	0.71	0.537	0.27879
APP	pfc	ipc	gw19	0.3657	0	0.157	1.39055	0.559	0.402	0.26299
RPL39	pfc	ipc	gw19	0.35642	0	0.013	1.01325	0.994	0.981	0.35176
TMSB10	pfc	ipc	gw19	0.35489	0	0.003	1.00301	1	0.997	0.35382
UBL5	pfc	ipc	gw19	0.34507	0	0.149	1.34332	0.583	0.434	0.25688
HMGN1	pfc	ipc	gw19	0.34072	0	0.192	1.35294	0.736	0.544	0.25184
COX7C	pfc	ipc	gw19	0.33709	0	0.131	1.17328	0.887	0.756	0.2873
RPL34	pfc	ipc	gw19	0.30915	0	0.002	1.00201	0.999	0.997	0.30853
COMMD6	pfc	ipc	gw19	0.3083	0	0.125	1.18574	0.798	0.673	0.26001
RPS28	pfc	ipc	gw19	0.29836	0	0.064	1.07256	0.946	0.882	0.27817
RPL37A	pfc	ipc	gw19	0.29342	0	0.006	1.00606	0.996	0.99	0.29166
MT-ND4L	pfc	ipc	gw19	0.29235	0	0.11	1.15692	0.811	0.701	0.2527
RPLP2	pfc	ipc	gw19	0.29208	0	0.077	1.08499	0.983	0.906	0.2692
RPS10	pfc	ipc	gw19	0.29079	0	0.108	1.13139	0.93	0.822	0.25702
MT-ND3	pfc	ipc	gw19	0.28624	0	0.027	1.02919	0.952	0.925	0.27813
RPLP1	pfc	ipc	gw19	0.28424	0	0.039	1.0411	0.988	0.949	0.27302
RPL37	pfc	ipc	gw19	0.2815	0	0.038	1.04004	0.987	0.949	0.27067
RPL21	pfc	ipc	gw19	0.27969	0	0.006	1.00606	0.996	0.99	0.27801
RPL35A	pfc	ipc	gw19	0.27314	0	0.029	1.03005	0.994	0.965	0.26517
RPS27	pfc	ipc	gw19	0.26012	0	0.01	1.01012	0.998	0.988	0.25751
RBP1	pfc	ipc	gw19_2	1.13048	0	0.307	1.73445	0.725	0.418	0.65178
NTM	pfc	ipc	gw19_2	1.07594	0	0.181	1.26775	0.857	0.676	0.8487
HSPA1A	pfc	ipc	gw19_2	1.0539	0	0.136	1.22259	0.747	0.611	0.86202
MTRNR2L1	pfc	ipc	gw19_2	0.60789	6.6e-4	0.145	1.35366	0.555	0.41	0.44907
RBMX	pfc	ipc	gw19_2	0.59283	0	0.147	1.19919	0.885	0.738	0.49436
EGR1	pfc	ipc	gw19_2	0.53811	0.04597	0.192	1.4424	0.626	0.434	0.37307
EMX2	pfc	ipc	gw19_2	0.52302	0.00399	0.105	1.17384	0.709	0.604	0.44556
PPP1R17	pfc	ipc	gw19_2	0.4555	0.00524	0.119	1.15315	0.896	0.777	0.395
DYNC1I2	pfc	ipc	gw19_2	0.35808	0.04415	0.092	1.1169	0.879	0.787	0.3206
TBCA	pfc	ipc	gw19_2	0.34808	0.04571	0.012	1.0142	0.857	0.845	0.3432
RPL36A	pfc	ipc	gw20	1.20839	4e-5	0.31	1.51753	0.909	0.599	0.79629
MT-ND4L	pfc	ipc	gw20	1.1826	0	0.205	1.26554	0.977	0.772	0.93446
RPL38	pfc	ipc	gw20	0.71772	9.8e-4	0.002	1.00205	0.977	0.975	0.71625
RPS27	pfc	ipc	gw20	0.54586	0.04354	0.001	1.001	1	0.999	0.54532
SRM	pfc	ipc	gw20_31	7.51248	0	0.464	4.89916	0.583	0.119	1.53342
LIMCH1	pfc	ipc	gw20_31	4.28321	0	0.371	3.87597	0.5	0.129	1.10507
SATB2	pfc	ipc	gw20_31	1.72737	0	0.291	2.12791	0.549	0.258	0.81177
GAP43	pfc	ipc	gw20_31	1.48999	0	0.288	1.66207	0.723	0.435	0.89647
DPYSL2	pfc	ipc	gw20_31	0.97462	0	0.205	1.39272	0.727	0.522	0.6998
LMO4	pfc	ipc	gw20_31	0.9152	0	0.197	1.59159	0.53	0.333	0.57502
SYT1	pfc	ipc	gw20_31	0.89921	0	0.228	1.50667	0.678	0.45	0.59682
CSRP2	pfc	ipc	gw20_31	0.83285	0	0.218	1.3359	0.867	0.649	0.62344
C4orf48	pfc	ipc	gw20_31	0.80533	0	0.183	1.25738	0.894	0.711	0.64048
BASP1	pfc	ipc	gw20_31	0.78782	0	0.189	1.29348	0.833	0.644	0.60907
AP2B1	pfc	ipc	gw20_31	0.75588	4e-5	0.2	1.56022	0.557	0.357	0.48447
NFIA	pfc	ipc	gw20_31	0.73405	5e-5	0.182	1.41839	0.617	0.435	0.51752
MIF	pfc	ipc	gw20_31	0.69063	0	0.217	1.40713	0.75	0.533	0.49081
PCSK1N	pfc	ipc	gw20_31	0.65259	1e-4	0.143	1.28543	0.644	0.501	0.50768
POU3F2	pfc	ipc	gw20_31	0.59125	0.00771	0.145	1.33105	0.583	0.438	0.4442
PHPT1	pfc	ipc	gw20_31	0.57304	0	0.164	1.27609	0.758	0.594	0.44906
DSTN	pfc	ipc	gw20_31	0.5695	0.00198	0.153	1.28545	0.689	0.536	0.44304
PTPRZ1	pfc	ipc	gw20_31	0.517	0.00225	0.1	1.16447	0.708	0.608	0.44397
ATP5I	pfc	ipc	gw20_31	0.48961	0	0.102	1.13333	0.867	0.765	0.43201
YWHAZ	pfc	ipc	gw20_31	0.47392	0.0101	0.125	1.22769	0.674	0.549	0.38603
GPM6A	pfc	ipc	gw20_31	0.46657	0	0.072	1.08191	0.951	0.879	0.43125
CBX3	pfc	ipc	gw20_31	0.45802	1.3e-4	0.064	1.11408	0.625	0.561	0.41112
STMN2	pfc	ipc	gw20_31	0.45687	0	0.095	1.11047	0.955	0.86	0.41142
MEIS2	pfc	ipc	gw20_31	0.42408	0.0053	0.104	1.16	0.754	0.65	0.36558
HSP90AA1	pfc	ipc	gw20_31	0.41491	0.00461	0.116	1.15591	0.86	0.744	0.35895
FTH1	pfc	ipc	gw20_31	0.25446	0	0	1	1	1	0.25446
DNAJB1	pfc	ipc	gw20_34	2.99508	0	0.36	2.70616	0.571	0.211	1.10676
JUN	pfc	ipc	gw20_34	1.36866	0	0.242	1.41438	0.826	0.584	0.96767
HSPA1A	pfc	ipc	gw20_34	1.29053	0	0.227	1.56608	0.628	0.401	0.82405
FOS	pfc	ipc	gw20_34	1.16428	0	0.29	1.52727	0.84	0.55	0.76233
HSPA1B	pfc	ipc	gw20_34	1.12517	0	0.19	1.56548	0.526	0.336	0.71874
DUSP1	pfc	ipc	gw20_34	0.67127	0	0.132	1.31132	0.556	0.424	0.5119
MARCH6	pfc	ipc	gw20_34	0.53986	0	0.105	1.2512	0.523	0.418	0.43148
HSP90AA1	pfc	ipc	gw20_34	0.51778	0	0.064	1.07556	0.911	0.847	0.48141
ACTB	pfc	ipc	gw20_34	0.49599	0	0.002	1.002	1	0.998	0.495
SSTR2	pfc	ipc	gw20_34	0.44514	0	0.106	1.26108	0.512	0.406	0.35298
H3F3B	pfc	ipc	gw20_34	0.41321	0	0.002	1.00201	0.998	0.996	0.41238
NTM	pfc	ipc	gw20_34	0.40389	0	0.068	1.11184	0.676	0.608	0.36326
ENC1	pfc	ipc	gw20_34	0.40369	0	0.069	1.09188	0.82	0.751	0.36972
EIF4G2	pfc	ipc	gw20_34	0.40358	0	0.082	1.10161	0.889	0.807	0.36636
NNAT	pfc	ipc	gw20_34	0.40101	0	0.054	1.06157	0.931	0.877	0.37775
NFIA	pfc	ipc	gw20_34	0.36304	0	0.098	1.21875	0.546	0.448	0.29788
HSPA8	pfc	ipc	gw20_34	0.35639	0	0.065	1.0938	0.758	0.693	0.32583
CNN3	pfc	ipc	gw20_34	0.34473	0	0.082	1.15891	0.598	0.516	0.29746
HNRNPA0	pfc	ipc	gw20_34	0.31408	0	0.038	1.04279	0.926	0.888	0.30119
DNAJA1	pfc	ipc	gw20_34	0.30726	0	0.053	1.09185	0.63	0.577	0.28141
SRSF3	pfc	ipc	gw20_34	0.2913	0	0.052	1.0745	0.75	0.698	0.2711
RTN1	pfc	ipc	gw20_34	0.28242	0	0.027	1.03207	0.869	0.842	0.27365
PCBP2	pfc	ipc	gw20_34	0.27781	0	0.05	1.09398	0.582	0.532	0.25395
GAPDH	pfc	ipc	gw20_34	0.2713	0	0.028	1.03037	0.95	0.922	0.26331
HSPE1	pfc	ipc	gw20_34	0.26884	0	0.027	1.0566	0.504	0.477	0.25443
YWHAQ	pfc	ipc	gw20_34	0.26682	0	0.033	1.0399	0.86	0.827	0.25659
SOX11	pfc	ipc	gw20_34	0.25965	0	-0.021	0.97768	0.92	0.941	0.26558
RBP1	pfc	ipc	gw22	0.54056	1.2e-4	0.184	1.575	0.504	0.32	0.34322
MIF	pfc	ipc	gw22	0.47128	0	0.208	1.5445	0.59	0.382	0.30513
NTM	pfc	ipc	gw22	0.45398	0.00122	0.174	1.48876	0.53	0.356	0.30493
COX8A	pfc	ipc	gw22	0.3984	0.01035	0.163	1.41688	0.554	0.391	0.28118
CALM1	pfc	ipc	gw22	0.35378	0.01765	0.137	1.21045	0.788	0.651	0.29227
MT-ND2	pfc	ipc	gw22	0.30285	0	0.023	1.02378	0.99	0.967	0.29581
RBP1	pfc	neuron	gw16	1.70619	0	0.266	1.88963	0.565	0.299	0.90292
DUT	pfc	neuron	gw16	1.64218	0	0.215	1.53218	0.619	0.404	1.07179
BTG3	pfc	neuron	gw16	1.62422	0	0.255	2.01594	0.506	0.251	0.80569
MDK	pfc	neuron	gw16	1.39048	0	0.201	1.39335	0.712	0.511	0.99794
GNG5	pfc	neuron	gw16	1.3855	0	0.243	1.63117	0.628	0.385	0.84939
DBI	pfc	neuron	gw16	1.27388	0	0.199	1.49502	0.601	0.402	0.85208
H2AFV	pfc	neuron	gw16	1.18479	0	0.201	1.56145	0.559	0.358	0.75878
GADD45G	pfc	neuron	gw16	1.16404	0	0.154	1.28205	0.7	0.546	0.90795
VIM	pfc	neuron	gw16	1.09265	0	0.11	1.22403	0.601	0.491	0.89267
PTN	pfc	neuron	gw16	1.06759	0	0.139	1.27416	0.646	0.507	0.83787
H2AFZ	pfc	neuron	gw16	1.01658	0	0.067	1.07511	0.959	0.892	0.94556
HIST1H4C	pfc	neuron	gw16	0.97261	0	0.055	1.0674	0.871	0.816	0.91119000000000006
FABP5	pfc	neuron	gw16	0.95338	0	0.045	1.05028	0.94	0.895	0.90774
