Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built
BiocParallel	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.22.0	NA	methods	stats, utils, futile.logger, parallel, snow	BH	"BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, codetools, RUnit,
BiocStyle, knitr, batchtools, data.table"	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.3
BiocStyle	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.16.1	NA	NA	"bookdown, knitr (>= 1.30), rmarkdown (>= 1.2), stats, utils,
yaml, BiocManager"	NA	BiocGenerics, RUnit, htmltools	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
BiocVersion	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.12.0	NA	R (>= 4.0.0)	NA	NA	NA	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
biomaRt	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.46.0	NA	methods	"utils, XML, AnnotationDbi, progress, stringr, httr, openssl,
BiocFileCache, rappdirs, xml2"	NA	annotate, BiocStyle, knitr, rmarkdown, testthat	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
Biostrings	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.58.0	NA	"R (>= 3.5.0), methods, BiocGenerics (>= 0.31.5), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), XVector (>= 0.29.2)"	methods, utils, grDevices, graphics, stats, crayon	S4Vectors, IRanges, XVector	"BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit"	Rmpi	Artistic-2.0	NA	NA	NA	NA	yes	4.0.3
bit	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	4.0.4	NA	R (>= 2.9.2)	NA	NA	"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)"	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.3
bit64	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	4.0.5	NA	R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats	NA	NA	NA	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.3
bitops	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0-6	NA	NA	NA	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.0
blob	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.1	NA	NA	methods, rlang, vctrs (>= 0.2.1)	NA	covr, crayon, pillar (>= 1.2.1), testthat	NA	GPL-3	NA	NA	NA	NA	no	4.0.0
bookdown	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.21.4	NA	NA	"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 2.4),
xfun (>= 0.19), tinytex (>= 0.12), yaml (>= 2.1.19)"	NA	"bslib, downlit, htmlwidgets, jsonlite, rstudioapi, miniUI,
rsconnect (>= 0.4.3), servr (>= 0.13), shiny, tibble, testit
(>= 0.9), tufte, xml2, webshot"	NA	GPL-3	NA	NA	NA	NA	no	4.0.3
brew	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0-6	NA	NA	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	NA	4.0.1
brio	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	NA	NA	NA	testthat (>= 2.1.0), covr	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
broom	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.6	NA	R (>= 3.1)	"backports, dplyr, generics (>= 0.0.2), methods, nlme, purrr,
reshape2, stringr, tibble (>= 3.0.0), tidyr"	NA	"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, Kendall, knitr, ks, Lahman, lavaan,
lfe, lme4, lmodel2, lmtest, lsmeans, maps, maptools, MASS,
Matrix, mclust, mgcv, muhaz, multcomp, network, nnet, orcutt
(>= 2.2), ordinal, plm, plyr, poLCA, psych, quantreg, rgeos,
rmarkdown, rsample, rstan, rstanarm, sp, speedglm,
statnet.common, survey, survival, testthat, tseries, zoo"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
bs4Dash	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.0	NA	NA	shiny, htmltools	NA	plotly, shinyWidgets, knitr, rmarkdown	NA	GPL (>= 2) | file LICENSE	NA	NA	NA	NA	no	4.0.3
bslib	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.4	NA	R (>= 2.10)	"grDevices, htmltools (>= 0.5.1), jsonlite, sass (>= 0.3.0),
digest (>= 0.6.25), jquerylib (>= 0.1.3), rlang, magrittr"	NA	shiny, rmarkdown, knitr, testthat, withr, rappdirs, curl	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
cachem	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.4	NA	NA	rlang, fastmap	NA	testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
callr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.5.1	NA	NA	processx (>= 3.4.4), R6, utils	NA	"cli, covr, crayon, fansi, pingr, ps, rprojroot, spelling,
testthat, tibble, withr (>= 2.3.0)"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
carData	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.0-4	NA	R (>= 3.5.0)	NA	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.2
caret	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	6.0-86	NA	R (>= 3.2.0), lattice (>= 0.20), ggplot2	"foreach, methods, plyr, ModelMetrics (>= 1.2.2.2), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.10),
withr (>= 2.0.0), pROC,"	NA	"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, mda, mgcv,
mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls, proxy,
randomForest, RANN, spls, subselect, pamr, superpc, Cubist,
testthat (>= 0.9.1), rpart, dplyr, covr"	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.2
caTools	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.18.1	NA	R (>= 3.6.0)	bitops	NA	MASS, rpart	NA	GPL-3	NA	NA	NA	NA	yes	4.0.4
cellranger	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	R (>= 3.0.0)	rematch, tibble	NA	covr, testthat (>= 1.0.0), knitr, rmarkdown	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
checkmate	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0.0	NA	R (>= 3.0.0)	backports (>= 1.1.0), utils	NA	"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble"	NA	BSD_3_clause + file LICENSE	NA	NA	NA	NA	yes	4.0.0
circlize	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4.11	NA	R (>= 3.0.0), graphics	"GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid"	NA	"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
cli	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.3.1	NA	R (>= 2.10)	assertthat, glue, methods, utils	NA	"callr, covr, grDevices, htmlwidgets, knitr, mockery, ps (>=
1.3.4.9000), rmarkdown, rstudioapi, prettycode (>= 1.1.0),
testthat, withr"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
clipr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.7.0	NA	NA	utils	NA	"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)"	NA	GPL-3	NA	NA	NA	NA	no	4.0.0
clue	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3-57	NA	R (>= 3.2.0)	stats, cluster, graphics, methods	NA	e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations	"RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools"	GPL-2	NA	NA	NA	NA	yes	4.0.3
clusterGeneration	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.3.6	NA	R (>= 3.5.0), MASS	NA	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.3
clusterProfiler	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.18.0	NA	R (>= 3.4.0)	"AnnotationDbi, downloader, DOSE (>= 3.13.1), dplyr, enrichplot
(>= 1.9.3), GO.db, GOSemSim, magrittr, methods, plyr, qvalue,
rlang, rvcheck, stats, tidyr, utils"	NA	"AnnotationHub, knitr, org.Hs.eg.db, prettydoc, ReactomePA,
testthat"	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
coda	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.19-3	NA	R (>= 2.14.0)	lattice	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.0
collections	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.5	NA	NA	NA	NA	covr (>= 3.4.0), testthat (>= 2.3.1)	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
colorspace	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0-0	NA	R (>= 3.0.0), methods	graphics, grDevices, stats	NA	"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson"	NA	BSD_3_clause + file LICENSE	NA	NA	NA	NA	yes	4.0.3
combinat	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.0-8	NA	NA	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	NA	4.0.3
commonmark	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.7	NA	NA	NA	NA	curl, testthat, xml2	NA	BSD_2_clause + file LICENSE	NA	NA	NA	NA	yes	4.0.1
ComplexHeatmap	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.4.3	NA	R (>= 3.1.2), methods, grid, graphics, stats, grDevices	"circlize (>= 0.4.5), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), parallel, png"	NA	"testthat (>= 1.0.0), knitr, markdown, dendsort, Cairo, jpeg,
tiff, fastcluster, dendextend (>= 1.0.1), grImport, grImport2,
glue, GenomicRanges, gridtext"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
conflicted	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.4	NA	R (>= 3.2)	rlang (>= 0.3.4), memoise	NA	covr, crayon, dplyr, pkgdown, testthat	NA	GPL-3	NA	NA	NA	NA	no	4.0.4
conquer	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.2	NA	R (>= 3.5.0)	Rcpp (>= 1.0.3), Matrix, matrixStats, stats	Rcpp, RcppArmadillo (>= 0.9.850.1.0)	NA	NA	GPL-3	NA	NA	NA	NA	yes	4.0.2
corrplot	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.84	NA	NA	NA	NA	knitr, RColorBrewer, testthat	NA	GPL	NA	NA	NA	NA	no	4.0.2
covr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.5.0	NA	R (>= 3.1.0), methods	"digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml"	NA	"R6, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery"	NA	GPL-3	NA	NA	NA	NA	yes	4.0.1
cowplot	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.1	NA	R (>= 3.5.0)	"ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales"	NA	"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram"	NA	GPL-2	NA	NA	NA	NA	no	4.0.4
cpp11	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.6	NA	NA	NA	NA	"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, testthat,
tibble, utils, vctrs, withr"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
crayon	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.1	NA	NA	grDevices, methods, utils	NA	mockery, rstudioapi, testthat, withr	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
crosstalk	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.1	NA	NA	htmltools (>= 0.3.6), jsonlite, lazyeval, R6	NA	shiny, ggplot2, testthat (>= 2.1.0)	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
curl	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	4.3	NA	R (>= 3.0.0)	NA	NA	"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.0
cyclocomp	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	NA	callr, crayon, desc, remotes, withr	NA	testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
d3r	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.9.0	NA	NA	dplyr, htmltools, rlang, tidyr (>= 0.8.3)	NA	httr, jsonlite, listviewer, purrr, testthat	igraph, partykit, rpart, treemap, V8	BSD_3_clause + file LICENSE	NA	NA	NA	NA	no	4.0.2
darkstudio	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.0	NA	NA	rstudioapi, fs	NA	NA	NA	MIT	NA	NA	NA	NA	no	4.0.3
data.table	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.14.0	NA	R (>= 3.1.0)	methods	NA	"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown"	NA	MPL-2.0 | file LICENSE	NA	NA	NA	NA	yes	4.0.4
DataExplorer	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.8.1	NA	R (>= 3.5)	"data.table (>= 1.12.8), reshape2 (>= 1.4.3), scales (>=
1.1.0), ggplot2, gridExtra, rmarkdown (>= 2.0), networkD3 (>=
0.4), stats, utils, tools, parallel"	NA	testthat, covr, knitr, jsonlite, nycflights13	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.2
datapasta	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.1.0	NA	R (>= 3.3.0)	"readr (>= 1.2.0), clipr (>= 0.3.0), rstudioapi (>= 0.6),
methods"	NA	"tibble (>= 1.2), testthat, knitr, rmarkdown, utils, covr,
data.table"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
DBI	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	methods, R (>= 3.0.0)	NA	NA	"blob, covr, hms, knitr, magrittr, rmarkdown, rprojroot,
RSQLite (>= 1.1-2), testthat, xml2"	NA	LGPL (>= 2.1)	NA	NA	NA	NA	no	4.0.0
dbplyr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.4	NA	R (>= 3.1)	"assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), lifecycle, magrittr, methods, purrr (>= 0.2.5), R6
(>= 2.2.2), rlang (>= 0.2.0), tibble (>= 1.4.2), tidyselect (>=
0.2.4), blob (>= 1.2.0), utils"	NA	"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RSQLite (>= 2.1.0),
testthat (>= 2.0.0)"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
DelayedArray	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.14.1	NA	"R (>= 3.4), methods, stats4, matrixStats, BiocGenerics (>=
0.31.5), S4Vectors (>= 0.25.15), IRanges (>= 2.17.3)"	stats, Matrix	S4Vectors	"BiocParallel, HDF5Array, genefilter, SummarizedExperiment,
airway, pryr, DelayedMatrixStats, knitr, BiocStyle, RUnit"	NA	Artistic-2.0	NA	NA	NA	NA	yes	4.0.3
deldir	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2-10	NA	R (>= 3.5.0)	graphics, grDevices	NA	polyclip	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.4
dendextend	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.14.0	NA	R (>= 3.0.0)	utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis	NA	"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr"	ggdendro, dendroextras, Hmisc, data.table, rpart	GPL-2 | GPL-3	NA	NA	NA	NA	no	4.0.2
desc	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.0	NA	R (>= 3.1.0)	assertthat, utils, R6, crayon, rprojroot	NA	covr, testthat, whoami, withr	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
DESeq2	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.28.1	NA	"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)"	"BiocGenerics (>= 0.7.5), Biobase, BiocParallel, genefilter,
methods, stats4, locfit, geneplotter, ggplot2, Rcpp (>= 0.11.0)"	Rcpp, RcppArmadillo	"testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer,
apeglm, ashr, tximport, tximeta, tximportData, readr, pbapply,
airway, pasilla (>= 0.2.10)"	NA	LGPL (>= 3)	NA	NA	NA	NA	yes	4.0.3
devtools	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.3.0	NA	R (>= 3.0.2), usethis (>= 1.6.0)	"callr (>= 3.4.3), cli (>= 2.0.2), covr (>= 3.5.0), crayon (>=
1.3.4), desc (>= 1.2.0), digest (>= 0.6.25), DT (>= 0.13),
ellipsis (>= 0.3.0), glue (>= 1.4.0), git2r (>= 0.26.1), httr
(>= 1.4.1), jsonlite (>= 1.6.1), memoise (>= 1.1.0), pkgbuild
(>= 1.0.6), pkgload (>= 1.0.2), rcmdcheck (>= 1.3.3), remotes
(>= 2.1.1), rlang (>= 0.4.5), roxygen2 (>= 7.1.0), rstudioapi
(>= 0.11), rversions (>= 2.0.1), sessioninfo (>= 1.1.1), stats,
testthat (>= 2.3.2), tools, utils, withr (>= 2.1.2)"	NA	"BiocManager (>= 1.30.10), curl (>= 4.3), foghorn (>= 1.1.5),
gmailr (>= 1.0.0), knitr (>= 1.28), lintr (>= 2.0.1), mockery
(>= 0.4.2), pingr (>= 2.0.0), MASS, pkgdown (>= 1.5.1), rhub
(>= 1.1.1), rmarkdown (>= 2.1), spelling (>= 2.1)"	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.2
diffobj	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.2	NA	R (>= 3.1.0)	crayon (>= 1.3.2), tools, methods, utils, stats	NA	knitr, rmarkdown, testthat	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
digest	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.6.27	NA	R (>= 3.3.0)	utils	NA	tinytest, knitr, rmarkdown, minidown	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
DO.db	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.9	NA	R (>= 2.7.0), methods, AnnotationDbi (>= 1.9.7)	methods, AnnotationDbi	NA	NA	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
doParallel	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.16	NA	"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils"	NA	NA	caret, mlbench, rpart, RUnit	compiler	GPL-2	NA	NA	NA	NA	no	4.0.4
DOSE	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.14.0	NA	R (>= 3.4.0)	"AnnotationDbi, BiocParallel, DO.db, fgsea, ggplot2, GOSemSim
(>= 2.0.0), methods, qvalue, reshape2, stats, utils"	NA	prettydoc, clusterProfiler, knitr, org.Hs.eg.db, testthat	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
downloader	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4	NA	NA	utils, digest	NA	testthat	NA	GPL-2	NA	NA	NA	NA	no	4.0.3
